Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
274,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,4.8,55,124,44.4,2858,2411,0,0,,7,7,100.0,48,117,41.0,0,0.0,0.0,0,2,0,0,0,Matches
275,Martinelli\Martinelli,br BRA,FW,Arsenal,18,2001,7.3,86,138,62.3,1242,373,2,13,15.4,75,109,68.8,9,16,56.3,0,0.2,-0.2,2,2,6,1,11,Matches
276,Adam Masina\Adam-Masina,it ITA,DF,Watford,25,1994,13.6,406,641,63.3,8420,4119,9,33,27.3,290,366,79.2,107,242,44.2,0,0.5,-0.5,10,36,10,8,90,Matches
277,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,25,1993,10.1,455,569,80.0,7265,2927,10,31,32.3,383,434,88.2,62,104,59.6,1,0.9,+0.1,6,27,5,3,52,Matches
278,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,31,1988,8.1,420,493,85.2,6658,1544,5,23,21.7,359,383,93.7,56,87,64.4,2,2.1,-0.1,19,40,18,2,45,Matches
279,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,10.7,556,652,85.3,10111,2719,4,13,30.8,436,489,89.2,116,150,77.3,1,0.9,+0.1,12,60,10,1,62,Matches
280,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,27,1991,7.0,388,452,85.8,8800,2598,0,2,0.0,250,276,90.6,138,174,79.3,0,0.0,0.0,0,34,1,0,29,Matches
281,Neal Maupay\Neal-Maupay,fr FRA,FW,Brighton,22,1996,23.5,423,536,78.9,6500,1164,24,50,48.0,337,405,83.2,62,81,76.5,2,2.0,0.0,19,21,20,3,45,Matches
282,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,27.0,860,1102,78.0,15011,4796,25,63,39.7,676,796,84.9,159,243,65.4,3,2.3,+0.7,25,94,17,0,109,Matches
283,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,23,1996,15.9,285,436,65.4,4116,1199,13,38,34.2,240,351,68.4,32,47,68.1,0,1.2,-1.2,9,20,11,0,39,Matches
284,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,19.0,255,506,50.4,10769,8306,1,2,50.0,79,80,98.8,175,424,41.3,0,0.0,0.0,1,20,1,0,0,Matches
285,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,28,1990,13.0,399,526,75.9,7525,2430,25,40,62.5,286,335,85.4,88,151,58.3,0,0.7,-0.7,13,39,6,0,59,Matches
