Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
103,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,16.7,470,457,13,0,2,178,5,5,1,0,0,0,153,173,144,14,257,84,1,8,263,6,16,11,21,Matches
104,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,778,763,15,11,2,122,28,8,0,0,0,0,550,113,115,483,250,28,2,3,676,2,13,6,7,Matches
105,Leander Dendoncker\Leander-Dendoncker,be BEL,DFMF,Wolves,24,1995,25.3,1070,1058,12,10,0,160,40,8,0,0,0,0,766,145,159,168,768,83,2,2,921,4,7,18,18,Matches
106,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.4,823,731,92,30,3,178,25,91,33,14,11,4,544,151,128,66,732,9,8,6,603,4,9,20,48,Matches
107,Eric Dier\Eric-Dier,eng ENG,MFDF,Tottenham,25,1994,9.9,542,528,14,13,0,103,13,3,0,0,0,0,357,72,113,83,395,35,1,0,430,3,5,15,4,Matches
108,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,24.9,1453,1038,415,48,2,232,48,218,91,41,36,7,601,329,523,962,77,81,276,4,1006,3,24,29,66,Matches
109,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,29.0,2326,2262,64,54,7,265,108,0,0,0,0,0,1757,212,357,279,1853,113,10,4,2110,1,37,11,6,Matches
110,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,21.7,671,638,33,32,0,109,13,1,0,0,0,0,446,74,151,95,481,64,1,1,547,2,17,10,7,Matches
111,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,264,254,10,0,3,56,5,23,0,0,0,0,169,62,33,60,176,11,9,5,191,1,7,8,8,Matches
112,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,23.9,1295,1044,251,5,1,229,19,34,0,0,0,0,626,358,311,55,844,84,246,9,981,3,23,30,37,Matches
113,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,27.2,1340,1329,11,8,1,287,20,18,1,0,0,0,954,238,148,213,1035,58,0,5,1066,3,18,22,49,Matches
114,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,167,163,4,4,0,32,7,1,0,0,0,0,96,44,27,35,126,3,0,0,136,0,5,2,6,Matches
115,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.7,20,19,1,1,0,3,1,0,0,0,0,0,9,2,9,3,14,3,0,0,11,0,2,0,1,Matches
116,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,2.4,61,58,3,0,0,24,3,1,2,2,0,0,35,17,9,9,46,3,0,2,48,0,4,2,0,Matches
117,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,29.0,833,451,382,112,0,99,21,0,0,0,0,0,191,29,613,37,650,1,1,85,448,4,25,6,2,Matches
118,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,6.5,299,270,29,7,0,60,12,35,20,6,13,0,170,71,58,34,238,11,1,9,234,0,3,6,11,Matches
119,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,11.9,546,514,32,28,0,86,33,1,0,0,0,0,341,79,126,38,421,45,4,8,457,1,16,2,6,Matches
120,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.7,502,450,52,11,0,104,11,15,0,0,0,0,262,71,169,382,30,29,41,3,358,2,12,6,16,Matches
121,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,27.0,1832,1751,81,50,1,232,101,1,0,0,0,0,1258,234,340,111,1550,91,31,16,1606,4,36,22,7,Matches
122,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,24.1,672,547,125,31,0,85,29,0,0,0,0,0,495,45,132,427,116,3,1,114,588,2,13,1,1,Matches
123,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,26.9,925,903,22,18,0,156,41,2,0,0,0,0,603,122,200,114,684,83,4,3,784,2,25,2,5,Matches
