Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
53,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,24.1,1429,123,433,708,358,45,1380,19,34,55.9,21,0,750,4034,1894,910,771,84.7,30,26,Matches
54,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,7.4,482,12,94,283,140,8,476,15,29,51.7,18,1,353,2577,1260,368,334,90.8,17,14,Matches
55,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,13.0,674,98,382,305,28,10,662,7,8,87.5,7,0,377,1904,842,397,375,94.5,3,2,Matches
56,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.6,44,0,4,18,23,4,41,0,1,0.0,0,0,34,149,83,44,35,79.5,2,2,Matches
57,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.4,513,6,53,199,321,53,505,54,96,56.3,61,3,446,3822,2475,467,381,81.6,21,41,Matches
58,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,22,1996,2.0,80,5,20,31,39,9,80,5,9,55.6,5,1,66,716,474,57,44,77.2,4,1,Matches
59,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,4.4,189,12,43,72,86,9,180,4,10,40.0,5,0,112,641,291,141,107,75.9,8,9,Matches
60,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.8,137,116,136,1,0,0,101,1,1,100.0,1,0,76,283,146,77,76,98.7,0,0,Matches
61,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.0,5,0,0,1,4,0,5,0,0,,0,0,5,15,1,7,5,71.4,1,1,Matches
62,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,0.0,2,0,1,1,0,0,2,0,0,,0,0,0,0,0,0,0,,0,0,Matches
